Top pages,Clicks,Impressions,CTR,Position
https://calculatormalaysia.com/category/cgpa/,3,163,1.84%,10.6
https://calculatormalaysia.com/insurance/ev-car-insurance-calculator-malaysia/#3-eael-table-of-content,2,2744,0.07%,3.45
https://calculatormalaysia.com/insurance/cheapest-motorcycle-insurance-calculator-malaysia/,2,1500,0.13%,9.51
https://calculatormalaysia.com/loan/early-housing-loan-settlement-calculator-malaysia/#5-eael-table-of-content,2,647,0.31%,4.31
https://calculatormalaysia.com/loan/early-housing-loan-settlement-calculator-malaysia/#3-eael-table-of-content,1,746,0.13%,4.34
https://calculatormalaysia.com/loan/early-housing-loan-settlement-calculator-malaysia/#4-eael-table-of-content,1,656,0.15%,4.33
https://calculatormalaysia.com/insurance/kalkulator-insurans-motor-malaysia/#0-eael-table-of-content,1,268,0.37%,7.91
https://calculatormalaysia.com/credit-card/credit-card-calculator-malaysia/,1,243,0.41%,17.4
https://calculatormalaysia.com/insurance/road-tax-and-motorcycle-insurance-calculator/#0-eael-table-of-content,0,1649,0%,5.28
https://calculatormalaysia.com/insurance/road-tax-and-motorcycle-insurance-calculator/#9-eael-table-of-content,0,1649,0%,5.28
https://calculatormalaysia.com/loan/car-loan-settlement-calculator-malaysia/#1-eael-table-of-content,0,1131,0%,7.73
https://calculatormalaysia.com/loan/early-housing-loan-settlement-calculator-malaysia/#1-eael-table-of-content,0,1038,0%,4.24
https://calculatormalaysia.com/insurance/road-tax-and-motorcycle-insurance-calculator/#2-eael-table-of-content,0,1005,0%,5.31
https://calculatormalaysia.com/loan/car-loan-settlement-calculator-malaysia/#0-eael-table-of-content,0,981,0%,7.94
https://calculatormalaysia.com/loan/car-loan-settlement-calculator-malaysia/#2-eael-table-of-content,0,972,0%,7.94
https://calculatormalaysia.com/loan/car-loan-settlement-calculator-malaysia/#3-eael-table-of-content,0,963,0%,7.38
https://calculatormalaysia.com/loan/early-housing-loan-settlement-calculator-malaysia/#0-eael-table-of-content,0,944,0%,4.26
https://calculatormalaysia.com/loan/car-loan-calculator-malaysia/,0,501,0%,9.09
https://calculatormalaysia.com/insurance/kalkulator-insurans-motor-malaysia/#7-eael-table-of-content,0,268,0%,7.91
https://calculatormalaysia.com/news/best-ev-insurance-in-malaysia/#0-eael-table-of-content,0,135,0%,8.65
https://calculatormalaysia.com/news/best-ev-insurance-in-malaysia/#12-eael-table-of-content,0,135,0%,8.65
https://calculatormalaysia.com/news/best-ev-insurance-in-malaysia/#3-eael-table-of-content,0,119,0%,8.6
https://calculatormalaysia.com/news/best-ev-insurance-in-malaysia/#9-eael-table-of-content,0,97,0%,8.41
https://calculatormalaysia.com/news/best-ev-insurance-in-malaysia/#6-eael-table-of-content,0,91,0%,8.45
https://calculatormalaysia.com/loan/credit-card-calculator-malaysia/,0,52,0%,25.67
https://calculatormalaysia.com/property/early-housing-loan-settlement-calculator-malaysia/,0,20,0%,9.5
https://calculatormalaysia.com/category/tax/,0,17,0%,69.06
https://calculatormalaysia.com/news/best-home-ev-charger-malaysia/#0-eael-table-of-content,0,13,0%,7.46
https://calculatormalaysia.com/news/best-home-ev-charger-malaysia/#6-eael-table-of-content,0,12,0%,7.08
https://calculatormalaysia.com/news/best-home-ev-charger-malaysia/#5-eael-table-of-content,0,10,0%,8
https://calculatormalaysia.com/news/best-home-ev-charger-malaysia/#7-eael-table-of-content,0,9,0%,8.44
https://calculatormalaysia.com/loan/home-loan-eligibility-calculator-malaysia/#0-eael-table-of-content,0,5,0%,10.2
https://calculatormalaysia.com/loan/home-loan-eligibility-calculator-malaysia/#1-eael-table-of-content,0,5,0%,10.2
https://calculatormalaysia.com/category/loan/,0,4,0%,2.75
https://calculatormalaysia.com/insurance/allianz-motorcycle-insurance-calculator-malaysia/#0-eael-table-of-content,0,4,0%,6.5
https://calculatormalaysia.com/insurance/allianz-motorcycle-insurance-calculator-malaysia/#2-eael-table-of-content,0,4,0%,6.5
https://calculatormalaysia.com/property/early-housing-loan-settlement-calculator-malaysia/#1-eael-table-of-content,0,4,0%,9.25
https://calculatormalaysia.com/property/early-housing-loan-settlement-calculator-malaysia/#3-eael-table-of-content,0,4,0%,9.25
https://calculatormalaysia.com/property-calculators-malaysia/,0,3,0%,3.33
https://calculatormalaysia.com/category/tax-government/,0,3,0%,4
https://calculatormalaysia.com/insurance/allianz-motorcycle-insurance-calculator-malaysia/#1-eael-table-of-content,0,3,0%,5.33
https://calculatormalaysia.com/insurance/allianz-motorcycle-insurance-calculator-malaysia/#3-eael-table-of-content,0,3,0%,5.33
https://calculatormalaysia.com/category/property/,0,3,0%,9
https://calculatormalaysia.com/property/early-housing-loan-settlement-calculator-malaysia/#0-eael-table-of-content,0,2,0%,9
https://calculatormalaysia.com/property/early-housing-loan-settlement-calculator-malaysia/#2-eael-table-of-content,0,2,0%,9
https://calculatormalaysia.com/property/early-housing-loan-settlement-calculator-malaysia/#4-eael-table-of-content,0,2,0%,9
https://calculatormalaysia.com/property/early-housing-loan-settlement-calculator-malaysia/#5-eael-table-of-content,0,2,0%,9
https://calculatormalaysia.com/loan/home-loan-eligibility-calculator-malaysia/#3-eael-table-of-content,0,2,0%,11.5
https://calculatormalaysia.com/insurance/cheapest-motorcycle-insurance-calculator-malaysia/#0-eael-table-of-content,0,1,0%,4
https://calculatormalaysia.com/insurance/cheapest-motorcycle-insurance-calculator-malaysia/#1-eael-table-of-content,0,1,0%,4
https://calculatormalaysia.com/insurance/cheapest-motorcycle-insurance-calculator-malaysia/#2-eael-table-of-content,0,1,0%,4
https://calculatormalaysia.com/insurance/cheapest-motorcycle-insurance-calculator-malaysia/#3-eael-table-of-content,0,1,0%,4
https://calculatormalaysia.com/wp-content/uploads/2025/08/Motorcycle-Insurance-Calculator-Malaysia-1.png,0,1,0%,6
https://calculatormalaysia.com/tax/kalkulator-pcb-bulanan-malaysia/#0-eael-table-of-content,0,1,0%,9
https://calculatormalaysia.com/tax/kalkulator-pcb-bulanan-malaysia/#1-eael-table-of-content,0,1,0%,9
https://calculatormalaysia.com/tax/kalkulator-pcb-bulanan-malaysia/#2-eael-table-of-content,0,1,0%,9
https://calculatormalaysia.com/tax/kalkulator-pcb-bulanan-malaysia/#3-eael-table-of-content,0,1,0%,9
https://calculatormalaysia.com/wp-content/uploads/2025/10/Kalkulator-Kira-Gaji-Bulanan-Malaysia-.png,0,1,0%,13
https://calculatormalaysia.com/wp-content/uploads/2025/07/Calculator-MY-Logo.png,0,1,0%,16
https://calculatormalaysia.com/wp-content/uploads/2025/08/Kalkulator-Insurans-Motor-Malaysia.png,0,1,0%,18
